main_category,subcategory,title,author,url,source
Literature,German Literature,Преступление и наказание,Фёдор Михайлович Достоевский,https://openlibrary.org/works/OL166894W,openlibrary
Social Sciences & Society,Politics,Доктор Живаго,Boris Leonidovich Pasternak,https://openlibrary.org/works/OL258301W,openlibrary
History,History - Religious,कामसूत्र,Vatsyāyana,https://openlibrary.org/works/OL239940W,openlibrary
Education & Reference,Teaching & Education,1001 задача для умственного счета (Russian),Sergei Aleksandrovich Rachinskii,https://www.gutenberg.org/ebooks/16527,gutenberg
Education & Reference,Reports & Conference Proceedings,10th anniversary of the Employee Retirement Income Security Act of 1974,United States. Congress. Senate. Special Committee on Aging,https://openlibrary.org/works/OL22890791W,openlibrary
History,Archaeology & Anthropology,1177 B.C.,Eric H. Cline,https://openlibrary.org/works/OL17323768W,openlibrary
Social Sciences & Society,Psychiatry/Psychology,12 Rules for Life,Jordan B. Peterson,https://openlibrary.org/works/OL17837119W,openlibrary
Education & Reference,Reports & Conference Proceedings,1973 Blaine House Conference on Aging,,https://openlibrary.org/works/OL22555983W,openlibrary
Education & Reference,Reports & Conference Proceedings,1982 Blaine House Conference on Aging,"Blaine House Conference on Aging (9th 1982 Augusta, Me.)",https://openlibrary.org/works/OL5223524W,openlibrary
Education & Reference,Reports & Conference Proceedings,1984 Blaine House Conference on Aging,"Blaine House Conference on Aging (10th 1984 Augusta, Me.)",https://openlibrary.org/works/OL5223424W,openlibrary
Education & Reference,Reports & Conference Proceedings,1988 Blaine House Conference on Aging,"Blaine House Conference on Aging (12th 1988 Augusta, Me.)",https://openlibrary.org/works/OL4583905W,openlibrary
Social Sciences & Society,Politics,1st Report [Session 1993-94],Rand McNally,https://openlibrary.org/works/OL14903351W,openlibrary
Literature,American Literature,2 B R 0 2 B,Kurt Vonnegut,https://www.gutenberg.org/ebooks/21279,gutenberg
Arts & Culture,"Essays, Letters & Speeches","A bibliography of the conventions and constitutions of Virginia including referenced to essays, letters and speeches in the Virginia newspapers",E. G. Swem,https://openlibrary.org/works/OL33582903W,openlibrary
Social Sciences & Society,Psychiatry/Psychology,Abnormal Psychology,"Gerald C. Davison, John M. Neale, Ann M. Kring",https://openlibrary.org/works/OL2680118W,openlibrary
Science & Technology,Science - Physics,"A Budget of Paradoxes, Volume I",Augustus De Morgan,https://www.gutenberg.org/ebooks/23100,gutenberg
History,History - Other,Ab urbe condita,Titus Livius,https://openlibrary.org/works/OL1261147W,openlibrary
History,History - Religious,A Canticle for Leibowitz,Walter M. Miller Jr.,https://openlibrary.org/works/OL2626638W,openlibrary
Social Sciences & Society,Gender & Sexuality Studies,Ace,Angela Chen,https://openlibrary.org/works/OL21692956W,openlibrary
Literature,Classics of Literature,A Christmas Carol,Charles Dickens,https://www.gutenberg.org/ebooks/24022,gutenberg
Social Sciences & Society,Law & Criminology,A collection of Latin maxims and phrases literally translated,John N. Cotterell,https://www.gutenberg.org/ebooks/68465,gutenberg
History,History - Other,A Complete Guide to Heraldry,Arthur Charles Fox-Davies,https://www.gutenberg.org/ebooks/41617,gutenberg
Arts & Culture,Music,A Complete History of Music,W. J. Baltzell,https://www.gutenberg.org/ebooks/54392,gutenberg
Literature,American Literature,A Connecticut Yankee in King Arthur's Court,Mark Twain,https://www.gutenberg.org/ebooks/86,gutenberg
Science & Technology,Science - Physics,A course in mathematics for students of physics,"Paul G. Bamberg, Shlomo Sternberg, Paul Bamberg",https://openlibrary.org/works/OL5256496W,openlibrary
Science & Technology,Science - Physics,Acoustics of layered media I,"L. M. Brekhovskikh, Leonid M. Brekhovskikh, Oleg A. Godin",https://openlibrary.org/works/OL63819W,openlibrary
Education & Reference,Reports & Conference Proceedings,Addressing the nursing shortage,An Action Conference on a Center for Nursing Innovations (1982 Mar. 17: Fairfield University Conn.),https://openlibrary.org/works/OL12185034W,openlibrary
Arts & Culture,Fashion,A dictionary of men's wear,William Henry Baker,https://www.gutenberg.org/ebooks/76299,gutenberg
Literature,Classics of Literature,A Doll's House : a play,Henrik Ibsen,https://www.gutenberg.org/ebooks/2542,gutenberg
Science & Technology,Engineering & Technology,"Advances in Computers, Volume 49 (Advances in Computers)","Marvin V. Zelkowitz, Marshall C. Yovits",https://openlibrary.org/works/OL7938163W,openlibrary
Health & Medicine,Nutrition,Advances in Food and Nutrition Research,Fidel Toldra,https://openlibrary.org/works/OL20743960W,openlibrary
Literature,American Literature,Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/ebooks/76,gutenberg
