main_category,subcategory,title,author,url
Lifestyle & Hobbies,Sports/Hobbies,The American Girl's Handy Book,"Lina Beard, Adelia Beard",https://openlibrary.org/works/OL1794792W
Lifestyle & Hobbies,Sports/Hobbies,Super Mario,Jeff Ryan,https://openlibrary.org/works/OL16116640W
Lifestyle & Hobbies,Sports/Hobbies,The Book of Wizard Craft,"Janice Eaton Kilby, Deborah Morgenthal, Terry Taylor",https://openlibrary.org/works/OL5962699W
Lifestyle & Hobbies,Sports/Hobbies,"Fox Tossing, Octopus Wrestling and Other Forgotten Sports",Edward Brooke-Hitching,https://openlibrary.org/works/OL24143375W
Lifestyle & Hobbies,Sports/Hobbies,Let's play Pokémon : trading card game : the ultimate manual for parents & kids,"Wizards of the Coast, Brown",https://openlibrary.org/works/OL18456863W
Lifestyle & Hobbies,Sports/Hobbies,The arts of sport and recreation,Derek Stanford,https://openlibrary.org/works/OL4902450W
Lifestyle & Hobbies,Sports/Hobbies,Qualitative Research in Gambling,Rebecca Cassidy,https://openlibrary.org/works/OL17575819W
Lifestyle & Hobbies,Sports/Hobbies,Sportscard counterfeit detector,"Robert F. Lemke, Bob Lemke, Sally Grace",https://openlibrary.org/works/OL1719902W
Lifestyle & Hobbies,Sports/Hobbies,Unbored,"Elizabeth Foy Larsen, Joshua Glenn",https://openlibrary.org/works/OL16617811W
Lifestyle & Hobbies,Sports/Hobbies,The big book of plants,"John Stringer, John Stringer",https://openlibrary.org/works/OL12073391W
Lifestyle & Hobbies,Sports/Hobbies,"Sports, hobbies, & recreation",Lucia McKay,https://openlibrary.org/works/OL4842251W
Lifestyle & Hobbies,Sports/Hobbies,Game Boy World 1989,Jeremy Parish,https://openlibrary.org/works/OL19799561W
Lifestyle & Hobbies,Sports/Hobbies,Easy style room by room,"Stevie Henderson, Mark Baldwin",https://openlibrary.org/works/OL16070444W
Lifestyle & Hobbies,Sports/Hobbies,A Hortitherapy Program for the Visually Handicapped,Phyllis Robinson Gilreath,https://openlibrary.org/works/OL43226841W
Lifestyle & Hobbies,Sports/Hobbies,"The International Roller Skating Guide, 1949-1950",Sam Finkelstein,https://openlibrary.org/works/OL43233692W
Lifestyle & Hobbies,Sports/Hobbies,The Lighthouse Players,Ruth Askenas,https://openlibrary.org/works/OL43263553W
Lifestyle & Hobbies,Sports/Hobbies,Three hundred and one things a bright girl can do,Jean Stewart,https://openlibrary.org/works/OL8047104W
Lifestyle & Hobbies,Sports/Hobbies,The do-it-better book,Shari Lewis,https://openlibrary.org/works/OL3068825W
Social Sciences & Society,Psychiatry/Psychology,The Varieties of Religious Experience,"William James, Dr. William James, WILLIAM JAMES, James, William, William James, CrossReach Publications, James William",https://openlibrary.org/works/OL1073561W
Social Sciences & Society,Psychiatry/Psychology,... Trotzdem Ja zum Leben sagen,Viktor E. Frankl,https://openlibrary.org/works/OL1268413W
Social Sciences & Society,Psychiatry/Psychology,A Mind That Found Itself,Clifford Whittingham Beers,https://openlibrary.org/works/OL6322288W
Social Sciences & Society,Psychiatry/Psychology,"Men are From Mars, Women are From Venus","John Gray, John Gray, John [Ph.D] Gray",https://openlibrary.org/works/OL263458W
Social Sciences & Society,Psychiatry/Psychology,The anatomy of melancholy,Robert Burton,https://openlibrary.org/works/OL3149647W
Social Sciences & Society,Psychiatry/Psychology,Psycho-cybernetics,"Maxwell Maltz, Maxwell maltz, M. Maltz, Maxwell Maltz, Maltz, Maxwell, M.D., F.I.C.S., Naxwell Maltz",https://openlibrary.org/works/OL99079W
Social Sciences & Society,Psychiatry/Psychology,The Silence of the Lambs,Thomas Harris,https://openlibrary.org/works/OL23481W
